%ename 
%prompt ?
%selkey 1234567890
%dupsel 10
%keyname begin
a a
b b
c c
d d
e e
f f
g g
h h
i i
j j
k k
l l
m m
n n
o o
p p
q q
r r
s s
t t
u u
v v
w w
x x
y y
z z
%keyname end
a 工
aa 式
aaaa 工
aaad 工期
aaah 葡萄牙
aaan 工艺
aaaq 工区
aaay 劳苦功高
aabt 医药卫生
aabw 戒除
aad 式
aadg 工厂
aadk 匿
aadn 慝
aadn 葚
aadw 萁
aady 落落大方
aaei 勤工助学
aaet 节节胜利
aaf 苷
aafb 工地
aafd 甙
aaff 苷
aafw 工夫
aagk 工整
aago 戒严
aagp 勤劳致富
aagx 戒毒
aah 芽
aaht 芽
aahw 工具
aaie 卧薪尝胆
aaig 工艺水平
aaip 工党
aait 工艺流程
aajf 工时
aajg 蕴藏量
aajh 蒸蒸日上
aak 戒
aakk 工艺品
aakm 苏共中央
aalp 东欧国家
aan 苣
aanf 苣
aany 戒心
aaog 工业
aaol 戒烟
aape 工农
aapp 切切实实
aaqk 匿名
aaqy 工贸
aarl 芭蕾舞
aarr 熙熙攘攘
aarx 戒指
aasg 工本
aasu 式样
aat 荛
aata 工长
aatk 工程
aatl 戒备
aatq 荛
aatu 莫斯科
aatv 戒律
aauk 工艺美术品
aaum 工商
aauq 工资
aaus 工艺美术
aavv 勤勤恳恳
aawf 工会
aawi 勤工俭学
aaws 欧共体
aawt 工作
aaww 工人
aaxg 警戒线
aaxx 花花绿绿
aayc 工序
aayf 苦苦哀求
ab 节
abag 若隐若现
abce 节能
abdw 节奏
abe 荫
abef 荫
abf 茸
abfc 节支
abh 邛
abhh 节目
abib 菡
abii 节水
abim 节油
abio 蒸
abir 蒸汽
abit 节省
abiu 荪
abiy 节流
abj 节
abjj 节日
abjn 节电
abm 茁
abmj 茁
abn 芤
abnb 芤
abnt 蒸发
aboa 节煤
abr 菰
abrg 节后
abrk 节操
abrm 节制
abrn 蒸气
abry 菰
abu 萨
abud 节减
abue 节前
abuf 茁壮
abut 萨
abwt 节余
abww 节俭
abxq 节约
abyc 节育
abyd 巧取豪夺
ac 芭
aca 茎
acaf 茎
acak 戒骄戒躁
acb 芭
acbd 节能降耗
acbm 蓣
acbt 茅
acck 茅台
acft 英勇献身
acfy 茅坑
acis 七台河
ack 苔
ackf 苔
acnt 欺骗性
acuh 英勇善战
acuq 英勇斗争
ad 基
ada 莽
adaa 藏匿
adad 苦苦
adaf 巨大贡献
adah 藏龙卧虎
adai 菲薄
adaj 莽
adak 甚或
adal 苦功
adao 基础工业
adat 藏医
adaw 蕻
aday 葫芦
adb 苊
adbb 苊
adbv 期限
adc 茇
adcn 戎马
adcu 茇
adcw 苦难
adcy 欺骗
addb 基础
addf 欺压
addg 基石
addj 若非
addl 藏历
addm 甚而
addn 茂盛
addp 基础研究
addr 莽原
